406,Eureka,city,40.7140,-89.2770
407,Willow Lake,cdp,42.3342,-89.6353
408,Lily Lake,village,41.9573,-88.4720
409,Maywood,village,41.8798,-87.8442
410,Hodgkins,village,41.7661,-87.8619
411,New Milford,village,42.1685,-89.0455
412,Jonesboro,city,37.4510,-89.2666
413,Lebanon,city,38.6007,-89.8097
414,Lincolnwood,village,42.0054,-87.7330
415,Goreville,village,37.5551,-88.9735
416,Limestone,village,41.1487,-87.9559
417,Rochester,village,39.7428,-89.5217
418,Chatsworth,town,40.7214,-88.2996
419,Breese,city,38.6138,-89.5237
420,Greenwood,village,42.3954,-88.3838
421,Lena,village,42.3786,-89.8217
422,Red Bud,city,38.2075,-90.0024
423,Casey,city,39.3054,-87.9853
424,Savanna,city,42.0938,-90.1391
425,McCook,village,41.7983,-87.8416
426,Genoa,city,42.0910,-88.6950
427,Carmi,city,38.0862,-88.1721
428,White Hall,city,39.4386,-90.4011
429,Willowbrook,village,41.7673,-87.9421
430,Keithsburg,city,41.1000,-90.9361
431,Washington Park,village,38.6285,-90.0926
432,La Grange,village,41.8072,-87.8741
433,Morrison,city,41.8076,-89.9617
434,Carthage,city,40.4143,-91.1281
435,Eldorado,city,37.8117,-88.4416
436,Somonauk,village,41.6347,-88.6875
437,Frankfort Square,cdp,41.5219,-87.8031
438,Peoria Heights,village,40.7467,-89.5700
439,River Forest,village,41.8949,-87.8191
440,De Pue,village,41.3296,-89.3037
441,Lost Nation,cdp,41.9120,-89.3685
442,Gilman,city,40.7604,-88.0012
443,Chenoa,city,40.7376,-88.7278
444,Port Byron,village,41.6243,-90.3302
445,Ina,village,38.1499,-88.9040
446,Le Roy,city,40.3394,-88.7611
447,Forest Park,village,41.8684,-87.8157
448,Minonk,city,40.9104,-89.0382
449,Bellwood,village,41.8829,-87.8762
450,Farmer City,city,40.2481,-88.6418
451,River Grove,village,41.9243,-87.8379
452,Thornton,village,41.5741,-87.6193
453,Dallas City,city,40.6353,-91.1643
454,Worth,village,41.6882,-87.7926
455,Knoxville,city,40.9069,-90.2857
456,Aledo,city,41.1986,-90.7464
457,Fulton,city,41.8652,-90.1587
458,Tamms,village,37.2415,-89.2713
459,Essex,village,41.1831,-88.1924
460,Gibson City,city,40.4668,-88.3792
461,Maple Park,village,41.9108,-88.6061
462,Metamora,village,40.7950,-89.3684
463,Chicago Ridge,village,41.7034,-87.7795
464,South Jacksonville,village,39.6994,-90.2240
465,Plattville,village,41.5343,-88.3836
466,Adams,cdp,39.8709,-91.1998
467,La Grange Park,village,41.8308,-87.8723
